FID,INTERACTION_ID,INTERACTIONS
509501,509501,205
816433,332316,205
324808,318665,205
324808,294868,205
825541,12741,205
460287,385699,204
324808,251090,204
460287,19105,204
460287,500488,204
460287,470817,204
324808,239376,204
460287,503980,204
460287,478492,204
460287,469043,203
460287,413828,203
816433,474644,203
816433,585995,203
816433,502617,203
786858,516118,203
460287,489600,203
460287,516902,202
460287,200375,201
460287,7464,201
460287,389824,201
460287,544228,201
460287,386755,201
406815,388302,201
460287,440523,201
324808,257241,201
786858,722015,200
286743,343261,200
460287,364883,200
460287,417426,200
13881,233221,200
537227,789636,200
816433,406564,199
460287,201198,199
396644,403619,199
532260,15141,199
460287,385878,199
816433,407704,199
816433,423378,199
324808,270090,198
509369,407704,198
786858,688772,198
460287,13201,198
509600,388302,198
786858,370633,198
786858,199325,197
460287,309710,197
460287,510364,197
261245,781098,197
816433,498568,197
324808,243775,197
460287,419790,197
816433,404330,196
816433,380455,196
460287,357407,196
460287,349555,196
816433,260433,195
786858,365209,195
460287,505008,195
460287,503566,194
460287,410915,194
460287,359814,194
460287,507937,194
460287,445127,194
460287,449539,194
460287,417621,193
460287,499163,193
786858,421001,193
816433,350698,193
472922,472922,193
460287,332723,193
460287,451903,193
786858,699484,193
786858,731996,193
816433,383877,193
816433,285462,192
460287,424658,192
460287,455837,192
324808,216130,192
460287,459311,192
602900,343261,192
460287,440080,192
460287,473996,191
644823,270138,191
786858,654248,191
460287,334293,191
417554,781098,191
786858,593985,191
519200,483595,191
816433,500988,191
460287,501732,191
460287,521007,191
816433,386287,191
324808,196149,191
460287,486780,190
460287,474204,190
460287,294018,190
816433,247653,190
816433,434641,190
460287,495427,190
460287,256500,190
816433,417451,190
324808,267066,190
816433,284003,189
531162,540474,189
16085,781098,189
816433,401137,189
460287,368989,189
460287,309715,189
816433,420657,189
672172,779652,189
460287,355836,189
672172,244128,189
356241,781098,188
324808,285604,188
324808,17140,188
460287,326040,188
460287,395500,188
460287,291765,188
460287,417851,188
460287,487357,188
816433,435513,188
519032,519032,188
786858,356019,187
460287,503524,187
509516,509516,187
460287,334050,187
473086,430462,187
816433,500710,187
460287,411475,187
460287,505430,187
460287,324395,186
460287,14415,186
816433,385830,186
531162,449882,186
816433,449882,186
324808,242246,186
816433,317501,186
816433,445335,186
460287,462167,186
460287,511221,185
324808,290231,185
460287,378143,185
460287,499969,185
786858,764114,185
460287,508890,184
460287,308410,184
460287,421714,184
252936,781098,183
816433,462351,183
816433,429539,183
213310,781098,183
460287,376802,183
460287,503435,183
816433,15776,183
460287,332571,182
13881,244200,182
460287,378440,182
215589,781098,182
460287,270138,182
312874,781098,182
816433,296315,182
816433,343971,182
786858,546900,182
460287,323631,182
548128,388302,182
460287,500588,182
460287,376033,181
816433,402888,181
786858,522180,181
460287,14988,181
460287,439285,181
816433,401441,181
786858,526049,180
222577,8630F39ED33DA6BEAE91D97479D0613ADDA19AA8,180
786858,14706,180
460287,484336,180
379634,379634,180
324808,266108,180
460287,406230,180
9218,781098,180
460287,315267,179
460287,396276,179
403619,781098,179
476047,781098,179
249774,343261,178
504131,478906,178
786858,374484,178
460287,418296,178
816433,402682,178
460287,428000,178
460287,276562,178
324808,242297,178
442358,343261,177
510852,343261,177
420915,388302,177
460287,13404,177
460287,385627,177
381417,343261,177
460287,354090,177
816433,537379,177
596746,388302,176
816433,445796,176
282068,343261,176
816433,480642,176
11244,781098,176
370162,388302,176
324808,322905,176
460287,382243,176
816433,368345,176
460287,425913,175
737225,12741,175
786858,435855,175
324808,271797,175
324808,244151,175
499372,499372,175
816433,504678,175
460287,485999,174
324808,299362,174
816433,478311,174
512878,512878,174
816433,17360,174
460287,639629,174
786858,329898,174
324808,193572,174
786858,462546,174
460287,319055,174
816433,441632,174
218369,781098,173
523316,523133,173
460287,428228,173
460287,400198,173
816433,368412,173
282672,781098,173
460287,327301,173
460287,506378,173
460287,380221,173
449748,5431,172
816433,500690,172
460287,291487,172
786858,665993,172
508213,388302,172
460287,422809,172
460287,290733,172
460287,248111,172
460287,440524,172
460287,343929,172
327165,781098,172
563445,527622,172
460287,514198,172
460287,265182,171
324808,196684,171
816433,263574,171
816433,345093,171
460287,482953,171
460287,503907,171
816433,401018,171
460287,499802,171
460287,306577,171
786858,437220,170
816433,397290,170
324808,273889,170
463466,388302,170
816433,675076,170
786858,420347,170
460287,514203,170
460287,485141,170
460287,423311,169
460287,428416,169
324808,250167,169
816433,501801,169
460287,478308,169
460287,428449,169
263339,781098,169
324808,242285,169
460287,477435,168
243294,382802,168
460287,399723,168
816433,378422,168
460287,508762,168
816433,733071,168
460287,500244,168
460287,622603,168
816433,503541,168
20388,781098,167
746127,12741,167
324808,242999,167
816433,445210,167
786858,616492,167
511382,343261,167
460287,292956,167
786858,472204,167
816433,460847,167
816433,285998,167
460287,15513,167
460287,514448,167
460287,191936,166
222577,36363CC04E3E8087A64AFA8AA7D090B7A70F989B,166
786858,345074,166
324808,301956,166
324808,369,166
460287,540538,166
657052,401137,166
245375,343261,166
460287,22859,166
816433,276506,165
460287,302319,165
460287,814153,165
258382,343261,165
324808,272115,165
460287,268383,165
786858,338384,165
816433,353603,164
460287,384608,164
460287,503201,164
460287,410926,164
460287,498638,164
460287,323975,164
460287,213310,164
381369,388302,164
1941,388996,163
521704,247143,163
511241,501087,163
324808,254943,163
324808,249858,163
324808,236070,163
816433,509624,163
460287,421245,163
816433,548711,163
460287,398825,162
460287,398028,162
460287,414561,162
816433,443305,162
309638,781098,162
246224,343261,162
549807,343261,162
324808,214570,162
515494,320215,162
460287,415374,162
460287,485965,162
460287,505400,162
460287,269694,161
460287,420601,161
786858,334048,161
786858,354995,161
460287,329130,161
816433,470886,161
786858,442578,161
816433,385793,161
786858,535376,161
460287,522918,160
816433,723940,160
816433,434862,160
786858,535686,160
460287,342717,160
460287,380973,160
816433,646093,160
324808,311066,159
460287,426967,159
460287,223778,159
563445,553423,158
428024,531162,158
816433,783764,158
816433,408838,158
503510,343261,158
816433,501832,158
493059,531162,158
816433,236636,158
786858,14705,158
509371,388302,158
473807,483595,157
786858,268611,157
460287,463703,157
816433,518129,157
600593,501087,157
816433,379435,157
816433,326677,157
789635,531162,157
460287,484844,157
460287,307834,157
460287,203751,157
446857,343261,157
460287,301657,157
786858,328031,157
816433,283056,157
